,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,20/07/20,2019,0.1,cash
1,23/05/19,2018,0.1,cash
2,18/12/18,2017,0.08,cash
3,01/12/17,2017,0.07,cash
4,29/05/17,2016,0.1,cash
5,20/10/16,2016,0.1,cash
6,23/05/16,2015,0.1,cash
7,06/10/15,2015,0.1,cash
8,02/06/15,2014,0.1,cash
9,08/10/14,2014,0.1,cash
10,28/05/14,2013,0.1,cash
11,10/01/14,2013,0.1,cash
12,29/05/13,2012,0.1,cash
13,12/12/12,2012,0.1,cash
14,12/06/12,2011,0.07,cash
15,20/02/12,2011,0.08,cash
16,29/08/11,2010,0.1,cash
17,08/10/10,2010,0.1,cash
18,12/05/10,2009,0.12,cash
19,08/09/09,2009,0.1,cash
