,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,09/05/22,2021,0.2,cash
1,18/01/21,2020,0.2,cash
2,30/06/20,2019,0.1,cash
3,30/12/19,2019,0.15,cash
4,26/08/19,2018,0.2,cash
5,26/04/18,2017,0.15,cash
6,27/02/17,2017,0.3,cash
7,21/11/16,2016,0.18,cash
8,28/10/15,2015,0.35,cash
9,19/08/15,2015,0.15,cash
10,12/02/15,2014,0.15,cash
11,19/03/14,2013,0.15,cash
12,01/02/13,2012,0.07,cash
13,16/05/12,2011,0.1,cash
14,21/12/11,2011,0.15,cash
15,23/05/11,2010,0.08,cash
16,27/12/10,2010,0.15,cash
17,07/05/10,2009,0.12,cash
18,09/02/09,2008,0.12,cash
19,22/04/08,2007,0.18,cash
