,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/12/15,2015,0.25,cash
1,04/06/15,2015,0.1,share
2,28/02/14,2013,0.1,cash
3,13/03/13,2012,0.1,cash
4,29/02/12,2011,0.1,cash
5,12/09/11,2011,0.1,cash
6,25/03/11,2010,0.1,cash
7,21/10/10,2010,0.1,cash
8,31/03/10,2010,0.1,share
9,27/01/10,2009,0.1,cash
10,15/04/09,2008,0.04,cash
11,29/12/08,2008,0.06,cash
12,02/01/08,2007,0.12,cash
13,08/06/07,2007,0.2,share
14,13/11/06,2006,0.06,cash
15,09/01/06,2006,0.05,share
16,14/07/05,2005,0.08,cash
17,16/02/05,2004,0.09,cash
18,06/09/04,2004,0.09,cash
19,28/01/04,2003,0.12,cash
