,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/05/22,2021,0.175,cash
1,27/05/21,2020,0.22,cash
2,25/06/20,2019,0.27,cash
3,27/06/19,2018,0.3,cash
4,14/06/18,2017,0.25,cash
5,11/07/17,2016,0.933,cash
6,09/05/16,2015,0.2,cash
7,12/05/15,2014,0.2,cash
8,25/04/14,2013,0.1,cash
9,19/09/13,2013,0.1,cash
10,03/08/12,2011,0.04,cash
11,23/08/11,2011,0.15,cash
12,29/03/11,2010,0.25,cash
13,16/09/10,2010,0.2,cash
14,11/06/10,2009,0.07,cash
15,08/02/10,2009,0.16,cash
16,12/08/09,2009,0.17,cash
17,27/05/09,2008,0.02,cash
