,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,13/02/23,2022,0.1,cash
1,06/02/23,2022,0.1,cash
2,25/07/22,2021,0.07,cash
3,21/06/22,2021,0.14,cash
4,25/01/22,2021,0.14,cash
5,16/07/21,2020,0.02,cash
6,28/01/21,2020,0.14,cash
7,09/06/20,2019,0.12,cash
8,14/04/20,2019,0.02,cash
9,03/03/20,2019,0.05,cash
10,17/01/20,2019,0.05,cash
11,31/05/19,2018,0.12,cash
12,28/03/19,2018,0.05,cash
13,23/11/18,2018,0.05,cash
14,27/06/18,2017,0.08,cash
15,11/05/18,2017,0.04,cash
16,13/03/18,2017,0.06,cash
17,14/07/17,2016,0.025,cash
18,31/12/16,2016,0.1,cash
19,31/12/15,2015,0.12,cash
