,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,01/06/22,2021,0.15,cash
1,24/05/21,2020,0.15,cash
2,08/05/20,2019,0.05,cash
3,09/05/19,2018,0.05,cash
4,10/05/18,2017,0.05,cash
5,10/05/17,2016,0.05,cash
6,26/07/16,2015,0.02,cash
7,27/07/15,2014,0.05,cash
8,23/09/14,2013,0.05,cash
9,01/07/13,2012,0.1,cash
10,04/10/12,2012,0.1,cash
11,22/06/12,2011,0.1,cash
12,08/08/11,2011,0.1,cash
13,20/04/11,2010,0.1,cash
14,16/09/10,2010,0.1,cash
15,06/05/10,2009,0.1,cash
16,24/07/09,2009,0.1,cash
17,04/05/09,2008,0.15,cash
18,26/11/08,2008,0.08,cash
19,26/09/08,2008,0.07,cash
