,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/08/22,2021,0.03,cash
1,05/10/21,2020,0.08,cash
2,04/11/20,2019,0.1,cash
3,07/06/19,2018,0.1,cash
4,06/09/18,2017,0.15,cash
5,20/07/17,2016,0.15,cash
6,10/05/16,2015,0.12,cash
7,31/03/15,2014,0.1,cash
8,05/03/14,2013,0.1,cash
9,04/03/13,2012,0.1,cash
10,12/03/12,2011,0.125,cash
11,24/03/11,2010,0.135,cash
12,24/03/10,2009,0.15,cash
13,03/12/08,2008,0.15,cash
14,05/03/08,2007,0.15,cash
15,26/03/07,2006,0.08,cash
16,19/07/06,2006,0.07,cash
17,20/02/06,2005,0.08,cash
18,21/07/05,2005,0.07,cash
19,10/03/05,2004,0.08,cash
