,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,15/11/22,2022,0.05,cash
1,23/03/22,2021,0.1,cash
2,21/09/21,2021,0.2,cash
3,22/02/21,2020,0.25,cash
4,18/11/20,2020,0.15,cash
5,19/03/20,2019,0.2,cash
6,12/11/19,2019,0.2,cash
7,25/03/19,2018,0.1,cash
8,21/11/18,2018,0.2,cash
9,03/04/18,2017,0.15,cash
10,17/11/17,2017,0.15,cash
11,30/03/17,2016,0.3,cash
12,31/03/16,2015,0.1,cash
13,03/11/15,2015,0.2,cash
14,17/04/15,2014,0.25,cash
15,12/11/14,2014,0.25,cash
16,18/03/14,2013,0.25,cash
17,16/10/13,2013,0.25,cash
18,27/03/13,2012,0.25,cash
19,05/11/12,2012,0.25,cash
