,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,03/01/23,2022,0.3,cash
1,09/05/22,2021,0.2,cash
2,10/01/22,2021,0.3,cash
3,13/05/21,2020,0.3,cash
4,21/10/20,2020,0.15,cash
5,21/05/20,2019,0.15,cash
6,21/05/20,2020,0.05,cash
7,11/11/19,2019,0.15,cash
8,11/06/19,2018,0.2,cash
9,04/07/18,2017,0.1,cash
10,04/07/18,2018,0.1,cash
11,11/10/17,2017,0.1,cash
12,24/05/17,2016,0.05,cash
13,24/05/17,2017,0.05,cash
14,04/01/17,2016,0.05,cash
15,17/10/16,2016,0.1,cash
16,21/06/16,2015,0.1,cash
17,03/09/15,2015,0.1,cash
18,07/05/15,2014,0.08,cash
19,16/05/14,2013,0.05,cash
