,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,18/03/22,2021,0.12,cash
1,03/03/21,2020,0.14,cash
2,09/03/20,2019,0.16,cash
3,07/12/18,2018,0.16,cash
4,21/11/17,2017,0.16,cash
5,06/03/17,2016,0.16,cash
6,27/11/15,2015,0.16,cash
7,19/11/14,2014,0.16,cash
8,14/02/14,2012,0.01,cash
9,14/02/14,2013,0.07,cash
10,18/09/13,2013,0.09,cash
11,21/03/13,2012,0.06,cash
12,23/10/12,2012,0.09,cash
13,22/03/12,2011,0.08,cash
14,22/09/11,2011,0.07,cash
15,08/03/11,2010,0.08,cash
16,31/08/10,2010,0.07,cash
17,23/02/10,2009,0.08,cash
18,03/09/09,2009,0.07,cash
19,06/03/09,2008,0.07,cash
