,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,26/08/22,2021,0.1,cash
1,15/07/21,2020,0.1,cash
2,10/09/20,2019,0.05,cash
3,06/12/19,2018,0.545,cash
4,10/09/19,2018,0.15,cash
5,07/06/19,2018,0.7,cash
6,20/09/18,2018,0.8,cash
7,17/05/18,2017,0.1,cash
8,01/11/17,2017,0.1,cash
9,12/05/17,2016,0.15,cash
10,16/11/16,2016,0.1,cash
11,18/05/16,2015,0.15,cash
12,27/11/15,2015,0.1,cash
13,14/05/15,2014,0.15,cash
14,29/12/14,2014,0.1,cash
15,22/05/14,2013,0.15,cash
16,22/11/13,2013,0.1,cash
17,23/05/13,2012,0.15,cash
18,26/11/12,2012,0.1,cash
19,17/05/12,2011,0.15,cash
