,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,31/01/23,2022,0.11,cash
1,06/01/22,2021,0.1,cash
2,21/01/21,2020,0.1,cash
3,03/01/20,2019,0.1,cash
4,09/01/19,2018,0.1,cash
5,01/02/18,2017,0.05,cash
6,30/10/17,2017,0.05,cash
7,21/02/17,2016,0.06,cash
8,05/10/16,2016,0.05,cash
9,19/01/16,2015,0.06,cash
10,21/09/15,2015,0.06,cash
11,30/12/14,2014,0.09,cash
12,17/09/14,2014,0.05,cash
13,14/01/14,2013,0.09,cash
14,24/09/13,2013,0.06,cash
15,22/01/13,2012,0.09,cash
16,21/09/12,2012,0.06,cash
17,21/12/11,2011,0.06,cash
18,05/08/11,2011,0.06,cash
19,25/01/11,2010,0.06,cash
