,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/10/22,2022,0.25,cash
1,04/05/22,2021,0.3,cash
2,19/08/21,2021,0.1,cash
3,06/05/21,2020,0.08,cash
4,13/05/20,2019,0.08,cash
5,06/06/19,2018,0.55,cash
6,03/08/18,2018,0.15,cash
7,08/05/18,2017,0.08,cash
8,27/12/17,2017,0.1,cash
9,25/04/17,2016,0.12,cash
10,09/06/16,2015,0.05,cash
11,15/01/16,2015,0.1,cash
12,20/04/15,2014,0.05,cash
13,26/08/14,2014,0.15,cash
14,16/05/14,2013,0.2,cash
15,26/11/13,2013,0.25,cash
16,24/09/13,2013,0.25,cash
17,16/04/13,2012,0.2,cash
18,06/11/12,2012,0.7,cash
19,06/08/12,2012,0.3,cash
