,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/10/22,2022,0.07,cash
1,01/07/22,2021,0.05,cash
2,23/03/22,2021,0.08,cash
3,07/12/21,2021,0.07,cash
4,22/03/21,2020,0.08,cash
5,16/11/20,2020,0.07,cash
6,27/03/20,2019,0.08,cash
7,19/11/19,2019,0.07,cash
8,02/07/19,2018,0.05,cash
9,26/03/19,2018,0.08,cash
10,29/08/18,2018,0.07,cash
11,23/03/18,2017,0.08,cash
12,07/09/17,2017,0.07,cash
13,30/03/17,2016,0.08,cash
14,13/10/16,2016,0.07,cash
15,18/07/16,2015,0.05,cash
16,18/03/16,2015,0.08,cash
17,11/09/15,2015,0.07,cash
18,26/05/15,2014,0.05,cash
19,18/03/15,2014,0.08,cash
