,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/10/22,2021,0.08,cash
1,26/11/21,2020,0.1,cash
2,14/09/20,2019,0.12,cash
3,26/09/19,2018,0.15,cash
4,27/09/18,2017,0.12,cash
5,26/09/17,2016,0.12,cash
6,14/09/16,2015,0.1,cash
7,28/09/15,2014,0.1,cash
8,28/09/15,2015,0.1,share
9,10/12/13,2012,0.2,cash
10,22/08/12,2011,0.1,cash
11,13/09/11,2010,0.1,cash
12,07/07/10,2009,0.02,cash
13,22/04/10,2009,0.1,cash
14,25/03/09,2008,0.06,cash
15,19/03/08,2007,0.06,cash
16,02/11/07,2007,0.06,cash
17,07/03/07,2006,0.13,cash
18,07/03/06,2005,0.13,cash
