,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/03/22,2021,0.08,cash
1,21/09/21,2020,0.08,cash
2,18/05/20,2019,0.08,cash
3,18/06/19,2018,0.08,cash
4,29/05/18,2018,0.1,cash
5,19/06/17,2016,0.05,cash
6,18/07/14,2013,0.1,cash
7,12/07/13,2012,0.12,cash
8,16/05/12,2011,0.15,cash
9,20/09/11,2010,0.1,cash
10,18/05/10,2009,0.1,cash
11,18/05/10,2010,0.1,cash
12,03/11/09,2009,0.1,cash
13,06/05/09,2008,0.2,cash
14,14/03/08,2007,0.08,cash
15,20/06/07,2007,0.08,cash
16,25/01/07,2006,0.16,cash
