,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,19/07/22,2022,0.08,share
1,14/10/21,2020,0.05,cash
2,24/02/21,2019,0.08,cash
3,28/03/19,2018,0.3,cash
4,18/05/18,2017,1.0,cash
5,27/02/18,2017,1.0,cash
6,21/12/16,2016,0.15,cash
7,14/06/16,2015,0.05,cash
8,29/12/15,2015,0.1,cash
9,10/06/15,2014,0.15,cash
10,12/06/14,2013,0.12,cash
11,20/06/13,2012,0.1,cash
12,10/05/12,2011,0.18,cash
13,09/06/11,2010,0.15,cash
14,21/01/10,2009,0.15,cash
15,03/02/09,2008,0.15,cash
16,29/02/08,2007,0.03,cash
17,11/10/07,2007,0.12,cash
18,02/02/07,2006,0.15,cash
