,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,04/03/22,2021,0.1,cash
1,23/03/21,2020,0.1,cash
2,14/11/19,2019,0.1,cash
3,04/04/19,2018,0.02,cash
4,30/01/19,2018,0.1,cash
5,09/02/18,2017,0.1,cash
6,03/02/17,2016,0.09,cash
7,16/02/16,2015,0.1,cash
8,05/01/15,2014,0.1,cash
9,17/01/14,2013,0.12,cash
10,23/01/13,2011,0.02,cash
11,23/01/13,2012,0.12,cash
12,10/01/12,2011,0.08,cash
13,03/03/11,2010,0.03,cash
14,24/08/10,2010,0.05,cash
15,01/02/10,2009,0.02,cash
16,07/08/09,2009,0.1,cash
17,18/03/09,2008,0.06,cash
18,18/09/08,2008,0.1,cash
19,10/02/08,2007,0.1,cash
