,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/06/22,2021,0.06,cash
1,14/07/21,2020,0.06,cash
2,17/06/20,2019,0.06,cash
3,27/05/19,2018,0.1,cash
4,25/05/18,2017,0.1,cash
5,12/05/17,2016,0.055,cash
6,23/06/16,2015,0.06,cash
7,28/07/15,2014,0.08,cash
8,28/07/15,2015,0.321,share
9,11/04/14,2013,0.14,cash
10,11/07/13,2012,0.12,cash
11,03/04/12,2011,0.18,cash
12,23/02/11,2010,0.15,cash
13,28/05/10,2009,0.15,cash
14,23/02/09,2008,0.18,cash
15,21/02/08,2007,0.12,cash
16,07/03/07,2006,0.113,cash
