,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,31/08/22,2021,0.08,cash
1,18/01/22,2020,0.08,cash
2,13/07/20,2019,0.08,cash
3,17/05/19,2018,0.08,cash
4,17/05/18,2017,0.07,cash
5,27/06/17,2016,0.06,cash
6,15/03/17,2015,0.04,cash
7,30/06/16,2015,0.06,cash
8,10/03/16,2014,0.15,cash
9,22/12/15,2014,0.15,cash
10,21/05/14,2013,0.1,cash
11,29/11/13,2013,0.15,cash
12,07/08/13,2012,0.2,cash
13,07/08/13,2013,0.15,cash
14,28/11/12,2012,0.1,cash
15,14/08/12,2012,0.2,cash
16,19/04/12,2011,0.3,cash
17,06/12/11,2011,0.1,cash
18,28/07/11,2011,0.1,cash
19,18/02/11,2010,0.13,cash
