,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,15/11/22,2021,0.1,cash
1,15/11/22,2022,0.2,share
2,16/07/21,2021,0.25,share
3,16/07/21,2020,0.1,cash
4,12/08/20,2020,0.5,share
5,30/07/19,2019,0.625,share
6,20/06/19,2019,0.2,share
7,24/09/18,2018,0.05,share
8,19/03/18,2018,1.0,share
9,19/03/18,2017,0.1,cash
10,24/05/17,2016,0.1,cash
11,24/05/17,2017,0.15,share
12,15/06/16,2016,0.15,share
13,15/06/16,2015,0.1,cash
14,28/05/15,2014,0.22,cash
15,28/05/14,2013,0.2,cash
16,07/06/13,2012,0.2,cash
17,12/07/12,2011,0.2,cash
18,02/06/11,2010,0.2,cash
19,20/05/10,2009,0.12,cash
