,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/11/21,2021,0.1,share
1,20/08/20,2020,0.15,share
2,08/07/20,2019,0.05,cash
3,29/05/19,2019,0.15,share
4,27/02/18,2017,0.15,cash
5,27/09/17,2017,0.1,cash
6,01/03/17,2016,0.1,cash
7,19/10/16,2016,0.1,cash
8,02/06/16,2016,0.1,cash
9,24/02/16,2015,0.1,cash
10,23/09/15,2015,0.1,cash
11,25/02/15,2014,0.1,cash
12,17/09/14,2014,0.1,cash
13,25/02/14,2013,0.1,cash
14,18/09/13,2013,0.1,cash
15,18/02/13,2012,0.1,cash
16,28/08/12,2012,0.1,cash
17,22/02/12,2011,0.1,cash
18,17/08/11,2011,0.1,cash
19,16/02/11,2010,0.15,cash
