,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/10/22,2021,0.05,cash
1,24/11/21,2020,0.05,cash
2,28/10/20,2019,0.15,cash
3,31/07/19,2018,0.2,cash
4,18/10/18,2017,0.03,cash
5,15/11/17,2017,0.27,cash
6,18/05/17,2016,0.28,cash
7,13/12/16,2016,0.17,cash
8,14/04/16,2015,0.1,cash
9,09/12/15,2015,0.15,cash
10,06/05/15,2014,0.25,cash
11,26/08/14,2013,0.25,cash
12,22/04/14,2013,0.2,cash
13,20/06/13,2012,0.7,cash
14,03/05/12,2011,0.4,cash
15,29/08/11,2010,0.4,cash
16,28/09/10,2009,0.2,cash
17,28/09/10,2010,0.1,cash
18,12/05/09,2008,0.4,cash
19,09/09/08,2008,0.15,cash
