,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/06/21,2020,0.05,cash
1,15/07/20,2019,0.1,cash
2,28/06/19,2018,0.1,cash
3,28/06/19,2019,0.1,share
4,19/06/18,2018,0.2,share
5,19/06/18,2017,0.15,cash
6,21/06/17,2017,0.4,share
7,21/06/17,2016,0.1,cash
8,02/06/16,2015,0.1,cash
9,02/06/16,2016,0.4,share
10,22/06/15,2015,0.2,share
11,22/06/15,2014,0.1,cash
12,16/09/14,2013,0.1,cash
13,16/09/14,2014,0.145,share
14,12/12/12,2012,0.02,share
15,21/05/12,2012,0.163,share
16,26/04/12,2012,0.301,share
17,29/11/11,2011,0.046,share
18,19/08/11,2011,0.296,share
