,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,28/12/22,2022,0.05,cash
1,02/06/22,2021,0.05,cash
2,05/01/22,2021,0.05,cash
3,28/05/21,2020,0.05,cash
4,08/01/21,2020,0.05,cash
5,09/07/20,2019,0.05,cash
6,06/01/20,2019,0.05,cash
7,30/05/19,2018,0.05,cash
8,08/01/19,2018,0.05,cash
9,17/05/18,2017,0.05,cash
10,20/12/17,2017,0.05,cash
11,12/05/17,2016,0.05,cash
12,09/12/16,2016,0.05,cash
13,22/06/16,2015,0.05,cash
14,10/09/15,2015,0.05,cash
15,21/05/15,2014,0.1,cash
16,28/05/14,2013,0.03,cash
17,15/07/12,2012,0.8,share
18,30/06/12,2012,0.6,share
19,30/06/10,2010,0.4,share
