,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/11/22,2022,0.2,cash
1,09/06/22,2021,0.1,cash
2,13/01/22,2021,0.2,cash
3,21/05/21,2020,0.1,cash
4,19/01/21,2020,0.2,cash
5,18/06/20,2019,0.1,cash
6,06/01/20,2019,0.2,cash
7,12/06/19,2018,0.1,cash
8,04/01/19,2018,0.2,cash
9,14/06/18,2017,0.1,cash
10,27/12/17,2017,0.2,cash
11,15/05/17,2016,0.1,cash
12,03/01/17,2016,0.2,cash
13,10/06/16,2015,0.1,cash
14,26/01/16,2015,0.2,cash
15,20/04/15,2014,0.3,cash
16,14/02/14,2013,0.1,cash
17,18/11/13,2013,0.1,cash
18,06/12/12,2012,0.2,cash
19,23/02/12,2011,0.1,cash
