,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,10/06/22,2021,0.8,cash
1,13/04/21,2020,2.0,cash
2,29/05/20,2020,0.25,share
3,29/05/20,2019,0.5,cash
4,14/08/19,2019,1.0,cash
5,09/05/19,2018,0.8,cash
6,14/01/19,2018,0.5,cash
7,31/12/17,2017,0.5,cash
8,31/12/16,2016,0.6,cash
9,20/01/16,2015,0.5,cash
10,10/03/15,2014,0.35,cash
11,20/05/13,2013,0.3,cash
12,09/04/13,2012,0.25,cash
13,31/12/12,2012,0.333,share
14,13/12/12,2012,0.3,cash
15,16/08/12,2012,0.25,cash
16,15/12/11,2011,0.75,cash
17,16/09/11,2011,0.25,cash
18,31/08/11,2011,0.333,share
19,10/05/11,2010,0.33,cash
