,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,10/11/22,2022,0.1,cash
1,12/09/22,2021,0.4,cash
2,10/09/21,2020,0.3,cash
3,07/09/20,2019,0.3,cash
4,11/07/19,2018,0.15,cash
5,05/12/18,2018,0.1,cash
6,24/07/18,2017,0.15,cash
7,14/09/17,2017,0.1,cash
8,27/06/17,2016,0.25,cash
9,03/06/16,2015,0.16,cash
10,16/06/15,2014,0.16,cash
11,02/06/14,2013,0.14,cash
12,20/05/13,2012,0.18,cash
13,20/06/12,2011,0.08,cash
14,10/11/11,2011,0.1,cash
15,06/06/11,2010,0.1,cash
16,28/10/10,2010,0.1,cash
17,25/02/10,2009,0.1,cash
18,27/08/09,2009,0.1,cash
19,05/12/08,2008,0.15,cash
