,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,11/08/22,2021,0.12,cash
1,26/10/21,2020,0.07,cash
2,27/11/20,2019,0.07,cash
3,04/10/19,2018,0.07,cash
4,04/10/18,2017,0.05,cash
5,13/10/17,2016,0.1,cash
6,25/05/16,2015,0.12,cash
7,10/02/15,2014,0.12,cash
8,18/11/14,2013,0.12,cash
9,18/11/13,2012,0.12,cash
10,14/11/12,2011,0.12,cash
11,27/05/11,2010,0.12,cash
12,15/06/10,2009,0.06,cash
13,16/10/09,2009,0.06,cash
14,23/04/09,2008,0.055,cash
15,22/08/08,2008,0.05,cash
16,10/06/08,2007,0.053,cash
17,27/07/07,2007,0.05,cash
18,01/02/07,2006,0.055,cash
19,18/07/06,2006,0.05,cash
