,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,09/01/23,2023,0.1,share
1,14/12/22,2022,0.1,cash
2,16/05/22,2021,0.1,cash
3,16/11/21,2021,0.2,cash
4,16/09/21,2020,0.2,cash
5,09/11/20,2020,0.2,cash
6,10/08/20,2019,0.1,cash
7,03/06/20,2019,0.2,cash
8,17/12/19,2019,0.2,cash
9,02/05/19,2018,0.15,cash
10,13/12/18,2018,0.15,cash
11,06/08/18,2018,0.2,cash
12,14/06/18,2018,0.1,share
13,16/05/18,2017,0.2,cash
14,30/11/17,2017,0.2,cash
15,07/08/17,2017,0.2,cash
16,10/05/17,2016,0.25,cash
17,16/12/16,2016,0.15,cash
18,24/10/16,2016,0.2,cash
19,31/08/16,2016,0.1,share
