,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,06/01/21,2021,0.07,share
1,01/04/19,2018,0.02,cash
2,04/01/19,2018,0.03,cash
3,29/10/18,2018,0.05,cash
4,14/08/18,2018,0.18,share
5,23/07/18,2017,0.047,cash
6,28/05/18,2016,0.03,cash
7,13/02/18,2012,0.03,cash
8,13/02/18,2013,0.04,cash
9,13/02/18,2014,0.03,cash
10,09/05/17,2012,0.01,cash
11,25/07/12,2010,0.013,cash
12,25/07/12,2011,0.01,cash
13,25/07/12,2010,0.038,cash
14,25/07/12,2011,0.12,cash
15,25/07/12,2011,0.01,cash
16,07/03/11,2010,0.09,cash
