,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/12/22,2021,0.023,cash
1,06/12/21,2020,0.045,cash
2,24/11/20,2019,0.045,cash
3,03/10/19,2018,0.045,cash
4,03/10/18,2017,0.028,cash
5,08/12/17,2016,0.08,cash
6,23/09/16,2015,0.14,cash
7,08/07/15,2014,0.12,cash
8,28/07/14,2013,0.12,cash
9,22/10/13,2012,0.1,cash
10,21/11/12,2011,0.14,cash
11,25/05/11,2011,0.12,cash
12,17/05/10,2010,0.12,cash
13,08/07/09,2008,0.1,cash
14,08/07/09,2008,0.1,share
15,20/08/08,2007,0.1,cash
16,20/08/08,2008,0.21,share
