,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/09/22,2021,0.03,cash
1,15/11/21,2020,0.03,cash
2,10/12/20,2020,0.05,share
3,04/12/20,2019,0.05,cash
4,29/08/19,2019,0.05,share
5,15/07/19,2018,0.05,cash
6,12/10/18,2017,0.05,cash
7,12/10/18,2018,0.05,share
8,08/06/17,2016,0.1,cash
9,08/08/16,2015,0.1,cash
10,20/07/15,2014,0.1,cash
11,23/04/14,2014,0.1,share
12,02/04/14,2013,0.1,cash
13,08/08/13,2013,0.2,share
14,17/01/13,2012,0.1,cash
15,09/11/12,2012,0.2,share
16,18/08/11,2011,0.2,share
