,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/10/21,2020,0.079,cash
1,27/05/20,2018,0.08,cash
2,27/08/18,2017,0.07,cash
3,27/08/18,2018,0.05,cash
4,18/08/17,2016,0.07,cash
5,18/08/17,2017,0.07,cash
6,12/08/16,2015,0.05,cash
7,12/08/16,2016,0.05,cash
8,23/09/15,2015,0.06,cash
9,20/11/14,2014,0.08,cash
10,26/05/14,2013,0.09,cash
11,20/11/13,2013,0.08,cash
12,30/05/13,2012,0.08,cash
13,03/12/12,2012,0.08,cash
14,23/05/12,2011,0.06,cash
15,19/03/12,2011,0.08,cash
16,23/11/11,2011,0.08,cash
17,22/02/11,2010,0.08,cash
18,25/08/10,2010,0.08,cash
19,04/05/10,2009,0.06,cash
