,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/10/22,2022,1.0,cash
1,08/10/21,2021,0.8,cash
2,19/10/20,2020,0.7,cash
3,24/10/19,2019,0.5,cash
4,19/12/18,2018,0.3,cash
5,16/03/18,2018,0.2,share
6,08/03/18,2017,0.05,cash
7,11/10/17,2017,0.55,cash
8,09/11/16,2016,0.2,share
9,24/10/16,2016,0.1,cash
10,02/06/16,2015,0.1,cash
11,02/06/16,2016,0.3,cash
12,16/11/15,2015,0.4,cash
13,14/08/15,2015,0.1,cash
14,26/06/15,2014,0.15,cash
15,29/09/14,2014,0.2,cash
16,22/05/14,2013,0.25,cash
17,12/11/13,2013,0.1,cash
18,08/08/13,2012,0.1,cash
19,26/06/13,2012,0.15,cash
