,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/09/20,2019,0.47,cash
1,17/09/20,2020,0.2,cash
2,29/11/18,2017,1.1,cash
3,01/11/18,2017,0.1,cash
4,01/11/18,2018,0.05,cash
5,31/10/17,2016,0.05,cash
6,16/01/17,2016,0.1,cash
7,07/06/16,2015,0.05,cash
8,15/01/16,2015,0.1,cash
9,04/09/15,2015,0.1,cash
10,10/04/15,2014,0.1,cash
11,30/12/14,2014,0.08,cash
12,17/09/14,2014,0.07,cash
13,10/03/14,2013,0.05,cash
14,10/12/13,2013,0.05,cash
15,01/08/13,2013,0.05,cash
16,22/05/13,2012,0.05,cash
17,14/12/12,2012,0.05,cash
18,08/08/12,2012,0.05,cash
19,03/05/12,2011,0.05,cash
