,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/12/22,2022,0.1,cash
1,05/08/22,2022,0.1,cash
2,17/05/22,2021,0.1,cash
3,13/05/21,2020,0.14,cash
4,31/12/20,2020,0.08,cash
5,05/08/20,2020,0.06,cash
6,13/05/20,2019,0.11,cash
7,08/11/19,2019,0.11,cash
8,08/08/19,2019,0.11,cash
9,14/05/19,2018,0.11,cash
10,08/01/19,2018,0.11,cash
11,25/07/18,2018,0.11,cash
12,10/05/18,2017,0.13,cash
13,08/01/18,2017,0.1,cash
14,03/08/17,2017,0.1,cash
15,17/05/17,2016,0.1,cash
16,12/12/16,2016,0.1,cash
17,15/08/16,2016,0.1,cash
18,31/12/15,2015,0.3,cash
19,31/12/14,2014,0.3,cash
