,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,18/01/23,2023,0.1,share
1,07/06/21,2020,0.1,cash
2,17/08/20,2019,0.1,cash
3,30/05/19,2018,0.1,cash
4,30/05/18,2017,0.12,cash
5,18/07/17,2016,0.1,cash
6,27/09/16,2016,0.05,cash
7,19/05/16,2015,0.06,cash
8,03/08/15,2015,0.1,cash
9,15/05/15,2015,0.19,share
10,22/05/14,2013,0.07,cash
11,27/09/13,2013,0.1,cash
12,25/04/13,2012,0.06,cash
13,04/03/13,2012,0.1,cash
14,08/05/12,2011,0.18,cash
15,18/05/11,2010,0.16,cash
16,07/05/10,2009,0.12,cash
17,06/05/09,2008,0.1,cash
18,08/05/08,2007,0.06,cash
