,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,09/11/22,2022,0.12,share
1,06/10/21,2021,0.12,share
2,19/11/20,2019,0.05,cash
3,06/03/20,2019,0.05,cash
4,14/10/19,2018,0.04,cash
5,07/06/19,2018,0.05,cash
6,11/01/19,2018,0.05,cash
7,18/10/18,2017,0.037,cash
8,21/02/18,2017,0.11,cash
9,13/10/17,2016,0.08,cash
10,15/08/17,2016,0.03,cash
11,27/02/17,2016,0.04,cash
12,16/11/16,2015,0.07,cash
13,22/07/16,2015,0.03,cash
14,19/01/16,2015,0.05,cash
15,24/06/15,2014,0.05,cash
16,22/01/15,2014,0.05,cash
17,10/12/14,2014,0.05,cash
18,26/06/14,2013,0.03,cash
19,17/06/13,2013,0.2,share
