,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/02/23,2022,0.1,cash
1,04/08/22,2022,0.1,cash
2,23/05/22,2021,0.15,cash
3,19/08/21,2021,0.1,cash
4,03/06/21,2020,0.2,cash
5,06/11/20,2020,0.1,cash
6,05/08/20,2019,0.05,cash
7,14/02/20,2019,0.1,cash
8,22/08/19,2019,0.1,cash
9,13/05/19,2018,0.2,cash
10,07/09/18,2018,0.1,cash
11,17/05/18,2017,0.15,cash
12,03/08/17,2017,0.1,cash
13,03/05/17,2016,0.15,cash
14,09/08/16,2016,0.1,cash
15,04/05/16,2015,0.1,cash
16,12/01/16,2015,0.1,cash
17,21/09/15,2015,0.1,cash
18,07/05/15,2014,0.15,cash
19,26/11/14,2014,0.1,cash
