,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/02/23,2022,0.05,cash
1,23/02/22,2021,0.1,cash
2,19/03/21,2020,0.1,cash
3,29/04/20,2019,0.12,cash
4,16/05/19,2018,0.17,cash
5,09/01/19,2018,0.08,cash
6,12/10/18,2018,0.05,cash
7,01/06/18,2017,0.08,cash
8,15/01/18,2017,0.05,cash
9,14/08/17,2017,0.05,cash
10,15/05/17,2016,0.08,cash
11,05/01/17,2016,0.1,cash
12,08/06/16,2015,0.06,cash
13,25/01/16,2015,0.06,cash
14,31/12/15,2015,0.06,cash
15,31/12/14,2014,0.18,cash
16,31/12/13,2013,0.17,cash
