,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,29/07/21,2021,0.025,share
1,29/07/21,2021,0.07,share
2,08/11/19,2019,0.15,share
3,11/04/17,2016,0.05,cash
4,11/04/17,2017,0.29,share
5,06/06/16,2015,0.08,cash
6,06/06/16,2016,0.1,share
7,22/09/15,2014,0.15,cash
8,25/06/14,2013,0.05,cash
9,20/05/14,2013,0.05,cash
10,13/11/13,2012,0.05,cash
11,10/09/13,2012,0.05,cash
12,23/04/12,2011,0.04,cash
13,02/03/12,2011,0.18,cash
14,09/03/11,2010,0.18,cash
15,17/03/10,2009,0.18,cash
16,06/03/09,2008,0.03,cash
17,22/12/08,2008,0.15,cash
18,13/03/08,2007,0.17,cash
