,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/02/23,2022,0.15,cash
1,02/03/22,2021,0.15,cash
2,04/03/21,2020,0.15,cash
3,28/02/20,2019,0.15,cash
4,06/03/19,2018,0.15,cash
5,08/03/18,2017,0.18,cash
6,29/12/16,2016,0.17,cash
7,31/12/15,2015,0.17,cash
8,26/12/14,2014,0.15,cash
9,05/12/13,2013,0.17,cash
10,05/12/12,2012,0.07,cash
11,05/12/12,2011,0.01,cash
12,08/10/12,2012,0.09,cash
13,20/12/11,2011,0.08,cash
14,05/10/11,2011,0.07,cash
15,09/02/11,2010,0.08,cash
16,08/09/10,2010,0.07,cash
17,24/02/10,2009,0.08,cash
