,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,26/08/22,2022,0.08,share
1,09/07/21,2021,0.1,share
2,29/10/20,2020,0.05,share
3,29/10/20,2019,0.05,cash
4,06/06/19,2018,0.05,cash
5,06/06/19,2019,0.02,share
6,29/03/19,2018,0.03,cash
7,30/05/18,2017,0.02,cash
8,30/05/18,2018,0.05,share
9,20/03/18,2017,0.03,cash
10,15/09/17,2016,0.02,cash
11,15/09/17,2017,0.05,share
12,20/03/17,2016,0.03,cash
13,19/08/16,2016,0.12,share
14,21/08/15,2015,0.03,cash
15,03/12/14,2014,0.03,cash
16,14/11/13,2012,0.03,cash
17,21/09/12,2011,0.05,cash
18,23/08/11,2010,0.08,cash
19,23/08/11,2011,0.07,share
