,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/08/22,2021,0.1,cash
1,19/01/22,2021,0.1,cash
2,22/01/21,2020,0.1,cash
3,19/03/20,2019,0.1,cash
4,05/09/19,2019,0.2,cash
5,19/02/19,2018,0.2,cash
6,31/07/18,2018,0.3,cash
7,29/01/18,2017,0.1,cash
8,29/06/17,2017,0.1,cash
9,09/02/17,2016,0.2,cash
10,09/08/16,2016,0.25,cash
11,29/01/16,2015,0.07,cash
12,28/10/15,2015,0.15,cash
13,28/07/15,2015,0.15,cash
14,09/04/15,2015,0.15,cash
15,27/01/15,2014,0.15,cash
16,23/10/14,2014,0.15,cash
17,25/07/14,2014,0.15,cash
18,18/04/14,2014,0.15,cash
19,23/01/14,2013,0.15,cash
