,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,02/06/22,2021,0.1,cash
1,02/06/22,2022,0.5,share
2,11/08/21,2020,0.1,cash
3,15/01/21,2019,0.05,cash
4,14/09/20,2019,0.05,cash
5,29/04/20,2018,0.221,cash
6,25/12/19,2018,0.2,cash
7,27/08/19,2018,0.15,cash
8,29/05/19,2018,0.2,cash
9,29/05/19,2019,0.4,share
10,22/03/19,2017,0.15,cash
11,06/12/18,2017,0.2,cash
12,11/09/18,2017,0.2,cash
13,31/08/18,2017,0.15,cash
14,19/07/17,2017,0.3,share
15,31/12/16,2016,0.3,cash
16,31/12/15,2015,0.27,cash
