,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/01/23,2022,0.15,cash
1,17/06/22,2021,0.15,cash
2,03/12/21,2021,0.05,cash
3,09/07/21,2020,0.05,cash
4,25/11/20,2020,0.05,cash
5,23/06/20,2019,0.1,cash
6,13/12/19,2019,0.15,cash
7,21/06/19,2018,0.15,cash
8,13/12/18,2018,0.35,cash
9,22/06/18,2017,0.25,cash
10,29/11/17,2017,0.15,cash
11,28/06/17,2016,0.12,cash
12,07/11/16,2016,0.08,cash
13,27/06/16,2015,0.15,cash
14,26/06/15,2014,0.15,cash
15,24/07/14,2013,0.09,cash
16,17/06/13,2012,0.085,cash
17,17/06/13,2013,0.085,share
18,08/05/12,2011,0.15,cash
19,26/04/11,2010,0.09,cash
