,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,01/08/22,2021,0.08,cash
1,23/07/21,2020,0.12,cash
2,29/07/20,2019,0.12,cash
3,20/05/19,2018,0.15,cash
4,25/05/18,2017,0.16,cash
5,19/06/17,2016,0.08,cash
6,15/12/16,2016,0.1,cash
7,07/09/16,2015,0.02,cash
8,29/12/15,2015,0.08,cash
9,08/06/15,2014,0.05,cash
10,05/12/14,2014,0.04,cash
11,24/06/14,2014,0.08,share
12,16/07/13,2013,0.12,share
13,08/05/12,2011,0.06,cash
14,06/12/11,2011,0.06,cash
15,02/06/11,2010,0.1,cash
16,24/05/10,2009,0.068,cash
17,26/06/09,2009,0.05,share
18,29/01/08,2007,0.14,cash
19,29/01/07,2006,0.14,cash
